ciclo_siglas,video_recurso_id,tipo_recurso_youtube,video_titulo,canal,tipo_canal,idioma,subtitulos,youtube_video_id,youtube_playlist_id,youtube_url,canal_url,tema_principal,fiabilidad_1_5,motivo_fiabilidad,estado_url,estado_embed,permite_descarga,modo_uso,ultima_revision,notas_recurso,duracion_minutos_verificada,visitas_verificadas,fecha_verificacion_metricas,fuente_metricas,calidad_verificacion_metricas,canal_fiable,cumple_min_45m,cumple_min_300k,relevancia_directa_ciclo,es_short_o_microvideo,estado_curacion_ia,accion_recomendada_ia,motivo_reemplazo,tipo_encaje_sustituto,video_sustituto_id,video_sustituto_titulo,video_sustituto_url,publicar_como_principal,regla_automatica_ia
DAW,YT-GIT-001,video_largo,Curso COMPLETO de GIT y GITHUB desde CERO para PRINCIPIANTES,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,3GymExBkKjE,,https://www.youtube.com/watch?v=3GymExBkKjE,,Git y GitHub,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",305,1145997,2026-08-05,https://www.youtube.com/watch?v=3GymExBkKjE,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-GREEN-SOFT-001,playlist,Software Development and Sustainability,Beyond Coding,entrevista_profesional,en,revisar_en_youtube,,PLX6ivsCcfHDOzMIUioOofyF-h-niZL6Qj,https://www.youtube.com/playlist?list=PLX6ivsCcfHDOzMIUioOofyF-h-niZL6Qj,https://www.youtube.com/@BeyondCoding,software_sostenible,3.5,Colección técnica centrada en sostenibilidad del software.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,Playlist: seleccionar y fijar el episodio concreto antes de publicar la lección definitiva.,,,,,NO_VERIFICADA,REVISAR,NO_VERIFICADO,NO_VERIFICADO,PARCIAL,SI_PLAYLIST_O_SIN_VIDEO_UNICO,REEMPLAZAR_INMEDIATAMENTE,BUSCAR_NUEVO_CANDIDATO,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,,,,,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-HTML-001,video,Curso de HTML,jonmircha,creador_profesional,es,revisar_en_youtube,-oK6zL01fNM,,https://www.youtube.com/watch?v=-oK6zL01fNM,https://www.youtube.com/@jonmircha,html_semantica_marcas,4.5,Curso técnico estructurado de HTML semántico.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=-oK6zL01fNM,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,DIRECTO,YT-HTMLCSS-SOYDALTO-001,Curso de HTML y CSS desde CERO (Completo),https://www.youtube.com/watch?v=ELSm-G201Ls,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-JAVA-001,video_largo,Curso Completo de Java desde Cero para Principiantes,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,JOAqpdM36wI,,https://www.youtube.com/watch?v=JOAqpdM36wI,,Java y POO,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",528,394029,2026-08-05,https://www.youtube.com/watch?v=JOAqpdM36wI,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-JS-PLAYLIST-001,playlist,Curso de JavaScript,jonmircha,creador_profesional,es,revisar_en_youtube,,PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ6QgYYO3MwG9EMqC-KoLXA,https://www.youtube.com/@jonmircha,javascript_dom_async_api,4.5,Playlist extensa y progresiva de JavaScript.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,SI_PLAYLIST_O_SIN_VIDEO_UNICO,REEMPLAZAR_INMEDIATAMENTE,REEMPLAZAR_POR_ID,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,DIRECTO,YT-JS-SOYDALTO-001,Curso de JAVASCRIPT desde CERO (Completo) - Nivel JUNIOR,https://www.youtube.com/watch?v=z95mZVUcJ-E,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-NODE-001,video,Fundamentos de Node.js,jonmircha,creador_profesional,es,revisar_en_youtube,0f26_Enlv38,,https://www.youtube.com/watch?v=0f26_Enlv38,https://www.youtube.com/@jonmircha,node_backend_servidor,4.5,Curso práctico de Node.js.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=0f26_Enlv38,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-NODE-DEPLOY-001,video,Despliegue de una aplicación Node.js,jonmircha,creador_profesional,es,revisar_en_youtube,FGZKmqX8gEY,,https://www.youtube.com/watch?v=FGZKmqX8gEY,https://www.youtube.com/@jonmircha,despliegue_node,4.5,Vídeo específico sobre publicación y configuración de una aplicación.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=FGZKmqX8gEY,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-PROG-INTRO-001,video,Hablemos de programación: fundamentos y pensamiento lógico,jonmircha,creador_profesional,es,revisar_en_youtube,BjYrguKBfCo,,https://www.youtube.com/watch?v=BjYrguKBfCo,https://www.youtube.com/@jonmircha,algoritmos_fundamentos_programacion,4.5,Explica conceptos antes de entrar en un lenguaje concreto.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=BjYrguKBfCo,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,AMPLIO_VALIDO,YT-PYTHON-MIDU-001,Curso COMPLETO de Python DESDE CERO para Principiantes 2025,https://www.youtube.com/watch?v=TkN2i-_4N4g,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-PWA-PLAYLIST-001,playlist,Curso de Progressive Web Apps,jonmircha,creador_profesional,es,revisar_en_youtube,,PLvq-jIkSeTUYIw8CP2AP7QJs4GeeZdvs6,https://www.youtube.com/playlist?list=PLvq-jIkSeTUYIw8CP2AP7QJs4GeeZdvs6,https://www.youtube.com/@jonmircha,pwa_offline_rendimiento,4.5,Playlist especializada en aplicaciones web progresivas.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,SI_PLAYLIST_O_SIN_VIDEO_UNICO,REEMPLAZAR_INMEDIATAMENTE,BUSCAR_NUEVO_CANDIDATO,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,,,,,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-REACT-PLAYLIST-001,playlist,Curso de React,jonmircha,creador_profesional,es,revisar_en_youtube,,PLvq-jIkSeTUZ5XcUw8fJPTBKEHEKPMTKk,https://www.youtube.com/playlist?list=PLvq-jIkSeTUZ5XcUw8fJPTBKEHEKPMTKk,https://www.youtube.com/@jonmircha,react_componentes_estado,4.5,"Playlist específica para componentes, estado y aplicaciones React.",curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,SI_PLAYLIST_O_SIN_VIDEO_UNICO,REEMPLAZAR_INMEDIATAMENTE,REEMPLAZAR_POR_ID,Es una playlist o no tiene un vídeo único auditable; no permite garantizar duración y repercusión por recurso.,DIRECTO,YT-REACT-MIDU-001,CURSO REACT.JS - Aprende desde cero,https://www.youtube.com/watch?v=7iobxzd_2wY,NO,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REEMPLAZAR_INMEDIATAMENTE
DAW,YT-RESPONSIVE-001,video,Responsive Web Design,jonmircha,creador_profesional,es,revisar_en_youtube,udGrXWeJp1Y,,https://www.youtube.com/watch?v=udGrXWeJp1Y,https://www.youtube.com/@jonmircha,responsive_mobile_first,4.5,Vídeo específico sobre diseño adaptable.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=udGrXWeJp1Y,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,REEMPLAZAR_POR_ID,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,DIRECTO,YT-HTMLCSS-SOYDALTO-001,Curso de HTML y CSS desde CERO (Completo),https://www.youtube.com/watch?v=ELSm-G201Ls,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-SQL-001,video_largo,Curso COMPLETO de SQL y BASES DE DATOS Desde Cero para PRINCIPIANTES,MoureDev by Brais Moure,creador_formativo_verificado,es,revisar_en_youtube,OuJerKzV5T0,,https://www.youtube.com/watch?v=OuJerKzV5T0,,SQL y bases de datos,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",411,1740560,2026-08-05,https://www.youtube.com/watch?v=OuJerKzV5T0,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-TERMINAL-001,video,Curso de terminal y línea de comandos,jonmircha,creador_profesional,es,revisar_en_youtube,Pi0KVD4xTbc,,https://www.youtube.com/watch?v=Pi0KVD4xTbc,https://www.youtube.com/@jonmircha,terminal_comandos,4.5,Formación técnica estructurada por un educador web profesional.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=Pi0KVD4xTbc,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-TESTING-001,video,Testing desde cero: pruebas automatizadas,MoureDev by Brais Moure,creador_profesional_verificado,es,revisar_en_youtube,344uwF1z2Gg,,https://www.youtube.com/watch?v=344uwF1z2Gg,https://www.youtube.com/@mouredev,testing_calidad,4.5,Curso práctico de pruebas automatizadas y calidad de código.,curado_manualmente_2026_08_04,revisar_automaticamente_antes_de_publicar,no,reproductor_oficial_youtube_iframe_api,2026-08-04,,,,,https://www.youtube.com/watch?v=344uwF1z2Gg,NO_VERIFICADA,SI,NO_VERIFICADO,NO_VERIFICADO,SI,NO_VERIFICADO,REVISAR_METRICAS,BUSCAR_NUEVO_CANDIDATO,No se han podido verificar de forma suficiente duración y/o visualizaciones; queda bloqueado como principal.,,,,,NO_HASTA_VERIFICAR,SI duracion<45 O visitas<300000 O relevancia=NO => NO_PUBLICAR_PRINCIPAL; estado=REVISAR_METRICAS
DAW,YT-VSCODE-001,video_largo,Curso completo de Visual Studio Code desde cero,HolaMundo,creador_formativo_verificado,es,revisar_en_youtube,Ei1y51K8jQk,,https://www.youtube.com/watch?v=Ei1y51K8jQk,,Visual Studio Code,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,recurso_apoyo,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",82,1100000,2026-08-05,https://www.youtube.com/watch?v=Ei1y51K8jQk,APROXIMADA_CONSERVADORA,SI,SI,SI,PARCIAL,NO,APROBADO_APOYO,MANTENER,,,,,,NO_USAR_COMO_CURSO_NUCLEAR,PUBLICAR_SOLO_COMO_APOYO
DAW,YT-JS-SOYDALTO-001,video_largo,Curso de JAVASCRIPT desde CERO (Completo) - Nivel JUNIOR,Soy Dalto,creador_formativo_verificado,es,revisar_en_youtube,z95mZVUcJ-E,,https://www.youtube.com/watch?v=z95mZVUcJ-E,,JavaScript,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",600,5081365,2026-08-05,https://www.youtube.com/watch?v=z95mZVUcJ-E,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-HTMLCSS-SOYDALTO-001,video_largo,Curso de HTML y CSS desde CERO (Completo),Soy Dalto,creador_formativo_verificado,es,revisar_en_youtube,ELSm-G201Ls,,https://www.youtube.com/watch?v=ELSm-G201Ls,,"HTML, CSS y responsive",5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",1423,3625279,2026-08-05,https://www.youtube.com/watch?v=ELSm-G201Ls,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-REACT-MIDU-001,video_largo,CURSO REACT.JS - Aprende desde cero,midulive,creador_formativo_verificado,es,revisar_en_youtube,7iobxzd_2wY,,https://www.youtube.com/watch?v=7iobxzd_2wY,,React,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,curso_principal,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",144,1381826,2026-08-05,https://www.youtube.com/watch?v=7iobxzd_2wY,VERIFICADA,SI,SI,SI,SI,NO,APROBADO_PRINCIPAL,MANTENER,,,,,,SI,PUBLICAR_PRINCIPAL
DAW,YT-PYTHON-MIDU-001,video_largo,Curso COMPLETO de Python DESDE CERO para Principiantes 2025,midudev,creador_formativo_verificado,es,revisar_en_youtube,TkN2i-_4N4g,,https://www.youtube.com/watch?v=TkN2i-_4N4g,,Fundamentos de programación con Python,5,Canal especializado y vídeo largo con repercusión superior al umbral estricto.,verificado_2026_08_05,revisar_antes_publicar,NO,recurso_apoyo,2026-08-05,"Seleccionado por curación estricta: duración >=45 min, visitas >=300.000 y encaje con el ciclo.",491,1532653,2026-08-05,https://www.youtube.com/watch?v=TkN2i-_4N4g,VERIFICADA,SI,SI,SI,PARCIAL,NO,APROBADO_APOYO,MANTENER,,,,,,NO_USAR_COMO_CURSO_NUCLEAR,PUBLICAR_SOLO_COMO_APOYO
